,city,date,treat,price,rating,omtaler,gæster,soveværelser,bathroom,hot water,security,work,wi-fi,kitchen,hair dryer,other,cleaning products,shampoo,washing machine,hangers,bed linen,family,refrigerator,dishwasher,parkering and faciliteter,host,mailbox,blackout curtains,entertainment,outdoor,view,temperature,attractions nearby,smoking allowed,pool etc.,fitness equipment,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
67,Warsaw,2024-08-01,1,353.0,4.60,5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,,,,6.5,7.0,5.75,5.75,5.75,5.0
68,Warsaw,2024-08-01,1,290.0,4.96,25,,1.0,1.0,,,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
69,Warsaw,2024-08-01,1,412.0,5.0,6,5.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
70,Warsaw,2024-08-01,1,314.0,4.92,145,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
71,Warsaw,2024-08-01,1,262.0,3.75,4,2.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
72,Warsaw,2024-08-01,1,347.0,,,,2.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
73,Warsaw,2024-08-01,1,190.0,5.0,4,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
74,Warsaw,2024-08-01,1,491.0,,,4.0,3.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
75,Warsaw,2024-08-01,1,524.0,4.88,65,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,6.5,7.0,5.75,5.75,5.75,5.0
76,Warsaw,2024-08-01,1,500.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,,6.5,7.0,5.75,5.75,5.75,5.0
