,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,washing machine,hangers,work,wi-fi,kitchen,gæster,bed linen,security,refrigerator,outdoor,parkering and faciliteter,host,mailbox,entertainment,temperature,other,cleaning products,family,dishwasher,attractions nearby,view,smoking allowed,blackout curtains,pool etc.,fitness equipment,fireplace,Sights,Safety,Shopping,Location,Climate,Affordability
91,Krakow,2024-08-01,0,376.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
92,Krakow,2024-08-01,0,298.0,4.91,137,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
93,Krakow,2024-08-01,0,290.0,4.43,442,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
94,Krakow,2024-08-01,0,418.0,4.43,7,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
95,Krakow,2024-08-01,0,280.0,4.66,123,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
96,Krakow,2024-08-01,0,416.0,4.55,40,3.0,3.0,1.0,,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
97,Krakow,2024-08-01,0,276.0,4.85,89,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
98,Krakow,2024-08-01,0,324.0,4.72,36,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
99,Krakow,2024-08-01,0,344.0,4.67,204,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
100,Krakow,2024-08-01,0,4304.0,4.55,31,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
101,Krakow,2024-08-01,0,334.0,4.75,4,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
102,Krakow,2024-08-01,0,348.0,4.56,200,4.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,4.0,,,1.0,,,,,1.0,,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
103,Krakow,2024-08-01,0,323.0,4.92,102,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,7.7,6.75,6.0,6.25,5.0,5.25
104,Krakow,2024-08-01,0,300.0,4.95,574,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
105,Krakow,2024-08-01,0,334.0,,,2.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
106,Krakow,2024-08-01,0,334.0,,,3.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,7.7,6.75,6.0,6.25,5.0,5.25
