,city,date,treat,price,rating,omtaler,gæster,soveværelser,hair dryer,shampoo,hot water,hangers,bed linen,entertainment,work,family,wi-fi,parkering and faciliteter,other,cleaning products,washing machine,temperature,kitchen,gæster,security,blackout curtains,refrigerator,dishwasher,outdoor,attractions nearby,view,smoking allowed,host,mailbox,fireplace,pool etc.,fitness equipment,Sights,Safety,Shopping,Location,Climate,Affordability
91,Bologna,2024-06-02,0,429,5.0,5,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
92,Bologna,2024-06-02,0,394,4.69,83,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
93,Bologna,2024-06-02,0,369,4.92,12,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,4.0,1.0,,1.0,,1.0,,,,1.0,,,,,6.4,6.5,5.5,5.5,6.5,4.25
94,Bologna,2024-06-02,0,455,4.89,222,,2.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
95,Bologna,2024-06-02,0,439,5.0,5,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,4.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
96,Bologna,2024-06-02,0,439,4.96,71,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
97,Bologna,2024-06-02,0,439,5.0,14,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
98,Bologna,2024-06-02,0,342,4.83,6,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
99,Bologna,2024-06-02,0,470,4.89,9,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,6.4,6.5,5.5,5.5,6.5,4.25
100,Bologna,2024-06-02,0,368,5.0,36,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,6.4,6.5,5.5,5.5,6.5,4.25
