,city,date,treat,price,rating,omtaler,gæster,soveværelser,hot water,hangers,bed linen,security,work,wi-fi,kitchen,parkering and faciliteter,hair dryer,other,cleaning products,shampoo,blackout curtains,entertainment,temperature,refrigerator,outdoor,gæster,attractions nearby,family,dishwasher,washing machine,view,smoking allowed,host,mailbox,fitness equipment,fireplace,pool etc.,Sights,Safety,Shopping,Location,Climate,Affordability
75,Lyon,2024-06-02,1,377,5.0,3,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
76,Lyon,2024-06-02,1,376,4.72,108,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,6.25,6.75,5.5,7.25,6.75,3.5
77,Lyon,2024-06-02,1,448,4.88,83,,2.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,6.25,6.75,5.5,7.25,6.75,3.5
78,Lyon,2024-06-02,1,373,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,6.25,6.75,5.5,7.25,6.75,3.5
79,Lyon,2024-06-02,1,467,5.0,7,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
80,Lyon,2024-06-02,1,450,4.76,21,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
81,Lyon,2024-06-02,1,315,4.84,56,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
82,Lyon,2024-06-02,1,377,4.77,26,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
83,Lyon,2024-06-02,1,448,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
84,Lyon,2024-06-02,1,423,5.0,15,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,6.25,6.75,5.5,7.25,6.75,3.5
