,city,date,treat,price,rating,omtaler,gæster,shampoo,underholdning,røgalarm,ting i nærheden,hårtørrer,sengetøj,familie,køleskab,tv,vaskemaskine,opvaskemasine,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
70,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
71,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
72,Hamburg,2024-07-23,1,626.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
73,Hamburg,2024-07-23,1,410.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
74,Hamburg,2024-07-23,1,246.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
75,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
76,Hamburg,2024-07-23,1,447.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
77,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
78,Hamburg,2024-07-23,1,410.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
79,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
80,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
81,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
82,Hamburg,2024-07-23,1,395.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
83,Hamburg,2024-07-23,1,335.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
84,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
85,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
86,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
87,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
88,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
89,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
90,Hamburg,2024-07-23,1,320.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
91,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
92,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
93,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
94,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
95,Hamburg,2024-07-23,1,522.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
96,Hamburg,2024-07-23,1,849.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
97,Hamburg,2024-07-23,1,484.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
98,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
99,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
100,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
101,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
102,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
103,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
104,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
105,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
106,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
107,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
108,Hamburg,2024-07-23,1,373.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
109,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
110,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
111,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
112,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
113,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
114,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
115,Hamburg,2024-07-23,1,238.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
116,Hamburg,2024-07-23,1,529.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
117,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
118,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
119,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
120,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
121,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
122,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
123,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
124,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
125,Hamburg,2024-07-23,1,373.0,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
126,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
127,Hamburg,2024-07-23,1,,,,,,,,,,,,,,,,,6.4,7.0,6.0,8.25,5.75,2.25
