,city,date,treat,price,rating,omtaler,hårtørrer,køleskab,ting i nærheden,sengetøj,underholdning,familie,røgalarm,opvaskemasine,shampoo,kaffe,vaskemaskine,tv,gæster,Sights,Safety,Shopping,Location,Climate,Affordability
108,Lisbon,2024-05-24,1,261.0,,,1.0,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
109,Lisbon,2024-05-24,1,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
110,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
111,Lisbon,2024-05-24,1,298.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
112,Lisbon,2024-05-24,1,186.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
113,Lisbon,2024-05-24,1,261.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
114,Lisbon,2024-05-24,1,,,,,1.0,,1.0,,1.0,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
115,Lisbon,2024-05-24,1,246.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
116,Lisbon,2024-05-24,1,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
117,Lisbon,2024-05-24,1,261.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
118,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
119,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
120,Lisbon,2024-05-24,1,,,,1.0,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
121,Lisbon,2024-05-24,1,447.0,,,,,,,1.0,,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
122,Lisbon,2024-05-24,1,283.0,,,,,,,1.0,,1.0,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
123,Lisbon,2024-05-24,1,,,,1.0,1.0,,,,,1.0,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
124,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
125,Lisbon,2024-05-24,1,298.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
126,Lisbon,2024-05-24,1,335.0,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
127,Lisbon,2024-05-24,1,373.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
128,Lisbon,2024-05-24,1,,,,,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
129,Lisbon,2024-05-24,1,261.0,,,,,,,1.0,,,,1.0,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
130,Lisbon,2024-05-24,1,335.0,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
131,Lisbon,2024-05-24,1,119.0,,,,1.0,,,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
132,Lisbon,2024-05-24,1,,,,1.0,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
133,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
134,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
135,Lisbon,2024-05-24,1,,,,,,,1.0,,1.0,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
136,Lisbon,2024-05-24,1,,,,,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
137,Lisbon,2024-05-24,1,261.0,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
138,Lisbon,2024-05-24,1,,,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
139,Lisbon,2024-05-24,1,,,,,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
140,Lisbon,2024-05-24,1,335.0,,,,1.0,,,,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
141,Lisbon,2024-05-24,1,142.0,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
142,Lisbon,2024-05-24,1,,,,,,,,1.0,,1.0,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
143,Lisbon,2024-05-24,1,,,,,,,,1.0,,1.0,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
144,Lisbon,2024-05-24,1,343.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
145,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
146,Lisbon,2024-05-24,1,119.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
147,Lisbon,2024-05-24,1,,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
148,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
149,Lisbon,2024-05-24,1,298.0,,,,,,,1.0,,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
150,Lisbon,2024-05-24,1,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
151,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
152,Lisbon,2024-05-24,1,298.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
153,Lisbon,2024-05-24,1,,,,1.0,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
154,Lisbon,2024-05-24,1,,,,,,,,1.0,,1.0,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
155,Lisbon,2024-05-24,1,,,,1.0,1.0,,,1.0,,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
156,Lisbon,2024-05-24,1,,,,1.0,,,,1.0,,,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
157,Lisbon,2024-05-24,1,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
158,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
159,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
160,Lisbon,2024-05-24,1,358.0,,,,1.0,,,,,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
161,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
162,Lisbon,2024-05-24,1,,,,1.0,,,,,,,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
163,Lisbon,2024-05-24,1,,,,,1.0,,,,,1.0,,,,,,,7.4,7.5,6.0,7.75,6.5,3.75
164,Lisbon,2024-05-24,1,119.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
165,Lisbon,2024-05-24,1,259.0,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,,7.4,7.5,6.0,7.75,6.5,3.75
166,Lisbon,2024-05-24,1,,,,,,,,1.0,,1.0,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
167,Lisbon,2024-05-24,1,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
168,Lisbon,2024-05-24,1,,,,,1.0,,,,1.0,,,,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
169,Lisbon,2024-05-24,1,,,,1.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
170,Lisbon,2024-05-24,1,358.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,7.4,7.5,6.0,7.75,6.5,3.75
171,Lisbon,2024-05-24,1,209.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,7.4,7.5,6.0,7.75,6.5,3.75
172,Lisbon,2024-05-24,1,,,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
173,Lisbon,2024-05-24,1,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,7.4,7.5,6.0,7.75,6.5,3.75
