,city,date,treat,price,rating,omtaler,gæster,familie,røgalarm,køleskab,ting i nærheden,hårtørrer,vaskemaskine,underholdning,tv,opvaskemasine,sengetøj,shampoo,kaffe,Sights,Safety,Shopping,Location,Climate,Affordability
130,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
131,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
132,Stockholm,2024-05-17,1,283.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
133,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
134,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
135,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
136,Stockholm,2024-05-17,1,114.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
137,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
138,Stockholm,2024-05-17,1,244.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
139,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
140,Stockholm,2024-05-17,1,451.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
141,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
142,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
143,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
144,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
145,Stockholm,2024-05-17,1,229.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
146,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
147,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
148,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
149,Stockholm,2024-05-17,1,198.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
150,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
151,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
152,Stockholm,2024-05-17,1,419.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
153,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
154,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
155,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
156,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
157,Stockholm,2024-05-17,1,,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
158,Stockholm,2024-05-17,1,525.0,,,,,,,,,,,,,,,,6.75,8.75,6.25,9.0,5.0,1.5
